2353
0.25
0.0,0.0,0.0
47.25,50.25,29.25
9.9555019129,19.4087493168,5.631399162,3.4468169058
15.4983465608,2.6501322751,22.4083994709,1.4128120945
29.7010869565,45.2989130435,6.2880434783,0.4410485693
22.4224040632,42.4579571106,18.1549097065,1.1822565106
16.4084302326,1.7950581395,12.0712209302,0.8624884499
27.4701310861,7.2276217228,26.1298689139,1.7076710954
25.5424378958,34.7030565027,16.5581466147,1.9710915162
43.3115530303,31.2837752525,2.7948232323,1.4348908497
12.073630137,40.6010273973,8.6832191781,0.6481637805
28.46,5.195,25.665,0.5713476872
5.6746632997,23.4238215488,6.4487934905,1.4923466221
21.9591985724,14.8399578196,21.524091499,1.7913399786
21.052238806,39.046641791,17.5541044776,0.7936190274
8.3141442741,28.4502497186,14.272228475,4.733469783
43.9448529412,10.4448529412,28.0441176471,0.6330141865
22.5072115385,18.2463942308,28.6658653846,0.9188929452
19.6875,0.9914772727,5.2926136364,0.6898235705
13.9105450237,20.7322274882,27.7150473934,1.1632720388
6.2758171142,21.3598690154,12.6170341628,3.5679922928
21.5174050633,27.207278481,2.0704113924,1.0563459375
30.5604089219,7.5650557621,28.1268587361,1.2613566392
13.7880434783,10.4836956522,28.8641304348,0.4410485693
43.9794600939,26.8002738654,13.4508998435,1.3358081586
44.15,4.5508333333,13.2375,1.038207648
31.7763888889,37.3347222222,19.7333333333,0.8756582437
3.8248587571,13.4555084746,20.8057909605,1.09709666
38.3477272727,19.6386363636,19.8840909091,0.5897908565
29.0287070524,18.1912296564,0.8657323689,1.6038442122
27.1299076212,44.4070438799,9.8799076212,1.4782564056
45.5354477612,2.9682835821,13.0876865672,0.6298958395
30.0935314685,26.8732517483,5.0681818182,1.0217998077
10.4305555556,12.9384920635,2.3670634921,0.6171025231
34.6732041588,45.3069470699,12.4307655955,1.2542834626
25.9926470588,1.7022058824,15.8933823529,0.6330141865
37.4979338843,43.8254132231,28.666322314,1.2176587468
28.7947271773,17.6725865687,20.0826075551,2.6097451985
11.5623425693,4.6523929471,9.1939546599,1.436097655
4.0857371795,29.6730769231,10.9409054487,1.6697392933
29.5079516539,39.5823791349,14.2910305344,1.1359903854
31.2321428571,23.4821428571,26.244047619,0.4278749918
23.2970430108,19.8239247312,27.1491935484,0.7026484972
42.8391530461,22.7722882615,13.2988484398,1.7123485047
43.7854477612,22.0853544776,1.4347014925,1.259791679
15.8649088542,2.9137369792,17.91796875,1.4202480846
4.5070683966,27.1308497075,3.3543760312,2.9189094592
36.235,31.735,26.6325,0.7198529779
39.5657514451,26.3724710983,21.3916184971,1.3717632709
32.5175,18.8175,18.3775,0.7198529779
4.5070422535,40.0422535211,10.0105633803,0.809108171
36.2799043062,21.7757177033,4.2954545455,1.1595849395
18.6222826087,32.8505434783,1.4283026756,1.6462187054
11.1859756098,31.6615853659,10.9786585366,0.5347758144
37.9753836317,12.1259590793,18.442455243,1.4288261499
17.875,39.3154761905,16.0976190476,0.9218287253
27.4180327869,28.2817622951,6.7223360656,0.9691115011
9.7833333333,28.5583333333,3.3916666667,0.4818933026
4.1917865707,19.615647482,7.251498801,1.981279862
9.4285714286,41.4821428571,7.1631493506,1.0473553233
43.2014925373,21.3880597015,2.4720149254,0.7936190274
4.195668693,12.7291033435,22.0132978723,1.0706374689
21.9688049209,22.7548330404,28.2218804921,1.6191654427
20.875,39.3660714286,13.4910714286,0.4709373648
